episode_number,date_episode_published,data_set,year_elligible_for_best_of,duration_in_minutes,episode_type,episode_title,guests_and_characters_from_wikipedia_semicolon_delimited,synopsis_and_segments,fandom_wikia_suffix,best_of_rank,weight_flat,weight_inverse,weight_linear,is_on_best_of_boolean
1,2009-05-01,ignored,2009,62,regular,Welcome To Comedy Bang Bang,Rob Huebel;Thomas Lennon;Doug Benson,,https://comedybangbang.fandom.com/wiki/Welcome_to_Comedy_Bang_Bang,,1.0,0.071,0.069,FALSE
2,2009-05-08,ignored,2009,51,regular,Reggaeton Soundboard,Aziz Ansari;Kevin Nealon;Doug Benson,,https://comedybangbang.fandom.com/wiki/Reggaeton_Soundboard,,1.0,0.071,0.069,FALSE
3,2009-05-15,ignored,2009,56,regular,Never Date A Brown,Jackie Clarke;Greg Behrendt;Nick Thune;Doug Benson,,https://comedybangbang.fandom.com/wiki/Never_Date_a_%22Brown%22,,1.0,0.071,0.069,FALSE
4,2009-05-22,ignored,2009,49,guest_host,Special Nerdist Edition,Chris Hardwick;Matt Mira;Mike Phirman;Doug Benson,,https://comedybangbang.fandom.com/wiki/Special_Nerdist_Edition,,1.0,0.071,0.069,FALSE
5,2009-05-29,ignored,2009,52,guest_host,Guest Host Jimmy Pardo,Jimmy Pardo;Matt Belknap;Maria Bamford as Jazz Martin;Paul Gilmartin as Congressman Richard Martin;Pat Francis as Paul Stanley;Garfunkel and Oates;Doug Benson,,https://comedybangbang.fandom.com/wiki/Guest_Host_Jimmy_Pardo,,1.0,0.071,0.069,FALSE
6,2009-06-05,ignored,2009,56,regular,Doing Laundry with Sarah,Howard Kremer;Brett Gelman as James Gandolfini and Billy Crystal;Sarah Silverman;Doug Benson,,https://comedybangbang.fandom.com/wiki/Doing_Laundry_with_Sarah,,1.0,0.071,0.069,FALSE
7,2009-06-12,ignored,2009,54,regular,Double Co-Hosts,The Sklar Brothers;Paul Rust as Cal Shipsby and Jerry Jimson;Paul F. Tompkins;Doug Benson,,https://comedybangbang.fandom.com/wiki/Double_Co-Hosts,,1.0,0.071,0.069,FALSE
8,2009-06-19,ignored,2009,57,regular,The New Doctor Demento,Weird Al Yankovic;Paul Scheer as Jim Pipe and Richard Dalton;Doug Benson,,https://comedybangbang.fandom.com/wiki/The_New_Doctor_Demento,,1.0,0.071,0.069,FALSE
9,2009-06-26,ignored,2009,42,regular,R.I.P. Michael Jackson,Dax Shepard;Chip Pope as R.O. Mance;Paul F. Tompkins as Michael Jacksons Ghost;Gregg Turkington as Neil Hamburger,,https://comedybangbang.fandom.com/wiki/R.I.P._Michael_Jackson,,1.0,0.071,0.069,FALSE
10,2009-07-03,ignored,2009,71,regular,Comedy Vs. Music,Aimee Mann;Morgan Murphy;Seth Morris as Todd Wickey;Doug Benson,,https://comedybangbang.fandom.com/wiki/Comedy_Vs._Music,,1.0,0.071,0.069,FALSE
11,2009-07-10,ignored,2009,61,regular,Birthday Checks!,Doug Benson;Rob Huebel;The Sklar Brothers,,https://comedybangbang.fandom.com/wiki/Birthday_Checks!,,1.0,0.071,0.069,FALSE
12,2009-07-17,ignored,2009,56,regular,The Babys Sunglasses,"Jon Hamm;Howard Kremer;Nick Kroll as himself, Bobby Bottleservice and El Chupacabra;Doug Benson",,https://comedybangbang.fandom.com/wiki/The_Baby%27s_Sunglasses,,1.0,0.071,0.069,TRUE
13,2009-07-24,ignored,2009,60,guest_host,Jimmy Pardos Back,Jimmy Pardo;Jason Nash as The Shaman;Jimmy Dore;Paul F. Tompkins as Ice-T;Doug Benson,,https://comedybangbang.fandom.com/wiki/Jimmy_Pardo%27s_Back,,1.0,0.071,0.069,FALSE
